      Step     Time          Energy          fmax
BFGS:   17 16:58:08     -125.216248        0.504366
BFGS:   18 16:58:08     -125.231209        0.444649
BFGS:   19 16:58:08     -125.269569        0.591100
BFGS:   20 16:58:08     -125.287468        0.687050
BFGS:   21 16:58:08     -125.302292        0.477748
BFGS:   22 16:58:08     -125.310478        0.235183
BFGS:   23 16:58:08     -125.318649        0.322147
BFGS:   24 16:58:08     -125.329369        0.504676
BFGS:   25 16:58:08     -125.343269        0.544739
BFGS:   26 16:58:08     -125.353752        0.358160
BFGS:   27 16:58:08     -125.361366        0.215105
BFGS:   28 16:58:08     -125.367485        0.309806
BFGS:   29 16:58:08     -125.375481        0.463787
BFGS:   30 16:58:08     -125.385086        0.472679
BFGS:   31 16:58:08     -125.392097        0.243477
BFGS:   32 16:58:09     -125.395325        0.242968
BFGS:   33 16:58:09     -125.397156        0.180429
BFGS:   34 16:58:09     -125.399574        0.242789
BFGS:   35 16:58:09     -125.402122        0.139660
BFGS:   36 16:58:09     -125.404137        0.178339
BFGS:   37 16:58:09     -125.405518        0.164555
BFGS:   38 16:58:09     -125.407394        0.179827
BFGS:   39 16:58:09     -125.409096        0.150852
BFGS:   40 16:58:09     -125.410240        0.054433
BFGS:   41 16:58:09     -125.410820        0.082541
BFGS:   42 16:58:09     -125.411713        0.136723
BFGS:   43 16:58:09     -125.412979        0.155346
BFGS:   44 16:58:09     -125.414093        0.103115
BFGS:   45 16:58:09     -125.414688        0.047320
      Step     Time          Energy          fmax
BFGS:    0 16:58:10     -124.181534        2.393864
BFGS:    1 16:58:10     -124.291420        1.584640
BFGS:    2 16:58:10     -124.362999        0.958658
BFGS:    3 16:58:10     -124.542984        1.409499
BFGS:    4 16:58:10     -124.593147        1.174759
BFGS:    5 16:58:10     -124.652527        0.501970
BFGS:    6 16:58:10     -124.671783        0.459822
BFGS:    7 16:58:10     -124.692329        0.526025
BFGS:    8 16:58:10     -124.716560        0.664026
BFGS:    9 16:58:10     -124.749382        0.680807
BFGS:   10 16:58:10     -124.772758        0.438615
BFGS:   11 16:58:10     -124.794952        0.440044
BFGS:   12 16:58:11     -124.822723        0.625559
BFGS:   13 16:58:11     -124.869438        1.474269
BFGS:   14 16:58:11     -124.919182        1.901580
BFGS:   15 16:58:11     -124.969299        1.227503
BFGS:   16 16:58:11     -124.902229        2.403816
BFGS:   17 16:58:11     -125.035034        1.080812
BFGS:   18 16:58:11     -125.056725        0.651847
BFGS:   19 16:58:11     -125.074539        0.301569
BFGS:   20 16:58:11     -125.100548        0.410131
BFGS:   21 16:58:11     -125.114883        0.458227
BFGS:   22 16:58:11     -125.129913        0.392891
BFGS:   23 16:58:11     -125.138809        0.275062
BFGS:   24 16:58:11     -125.148193        0.274929
BFGS:   25 16:58:11     -125.155647        0.293848
BFGS:   26 16:58:11     -125.161835        0.232876
BFGS:   27 16:58:12     -125.166573        0.246327
BFGS:   28 16:58:12     -125.170975        0.213079
BFGS:   29 16:58:12     -125.175766        0.260716
BFGS:   30 16:58:12     -125.180824        0.254411
BFGS:   31 16:58:12     -125.184921        0.189815
BFGS:   32 16:58:12     -125.187958        0.126502
BFGS:   33 16:58:12     -125.190811        0.215566
BFGS:   34 16:58:12     -125.194214        0.326159
BFGS:   35 16:58:12     -125.198273        0.283337
BFGS:   36 16:58:12     -125.201340        0.213827
BFGS:   37 16:58:12     -125.203087        0.118523
BFGS:   38 16:58:12     -125.204292        0.147948
BFGS:   39 16:58:13     -125.205948        0.197259
BFGS:   40 16:58:13     -125.208115        0.173962
BFGS:   41 16:58:13     -125.209747        0.128348
BFGS:   42 16:58:13     -125.210648        0.066579
BFGS:   43 16:58:13     -125.211349        0.070616
BFGS:   44 16:58:13     -125.212189        0.114391
BFGS:   45 16:58:13     -125.213432        0.138609
BFGS:   46 16:58:13     -125.214455        0.115732
BFGS:   47 16:58:13     -125.214989        0.050858
BFGS:   48 16:58:13     -125.215279        0.038354
      Step     Time          Energy          fmax
BFGS:    0 16:58:14     -123.427307        5.805496
BFGS:    1 16:58:14     -124.085304        2.330534
BFGS:    2 16:58:14     -124.200905        2.548777
BFGS:    3 16:58:14     -124.399567        0.981894
BFGS:    4 16:58:14     -124.453117        1.024653
BFGS:    5 16:58:14     -124.485016        0.808924
BFGS:    6 16:58:14     -124.547920        1.047046
BFGS:    7 16:58:14     -124.565712        0.452285
BFGS:    8 16:58:14     -124.584785        0.308486
BFGS:    9 16:58:14     -124.591141        0.219284
BFGS:   10 16:58:15     -124.594543        0.223757
BFGS:   11 16:58:15     -124.601395        0.315281
BFGS:   12 16:58:15     -124.609909        0.437803
BFGS:   13 16:58:15     -124.620850        0.524823
BFGS:   14 16:58:15     -124.633667        0.452787
BFGS:   15 16:58:15     -124.650742        0.347730
BFGS:   16 16:58:15     -124.669754        0.558144
BFGS:   17 16:58:15     -124.706207        0.980872
BFGS:   18 16:58:15     -124.734756        0.644481
BFGS:   19 16:58:15     -124.593521        2.870864
BFGS:   20 16:58:15     -124.758217        1.726675
BFGS:   21 16:58:16     -124.770706        0.719583
BFGS:   22 16:58:16     -124.790100        0.279593
BFGS:   23 16:58:16     -124.800247        0.319717
BFGS:   24 16:58:16     -124.806213        0.177578
BFGS:   25 16:58:16     -124.812355        0.241726
BFGS:   26 16:58:16     -124.817062        0.390017
BFGS:   27 16:58:16     -124.823250        0.461086
BFGS:   28 16:58:16     -124.829971        0.382407
BFGS:   29 16:58:16     -124.837692        0.276291
BFGS:   30 16:58:16     -124.845108        0.324198
BFGS:   31 16:58:16     -124.852264        0.334703
BFGS:   32 16:58:16     -124.858238        0.358384
BFGS:   33 16:58:16     -124.865730        0.428614
BFGS:   34 16:58:17     -124.879639        0.568428
BFGS:   35 16:58:17     -124.898788        0.730800
BFGS:   36 16:58:17     -124.917221        0.606269
BFGS:   37 16:58:17     -124.933281        0.396768
BFGS:   38 16:58:17     -124.946793        0.407451
BFGS:   39 16:58:17     -124.964111        0.639530
BFGS:   40 16:58:17     -124.980942        0.580495
BFGS:   41 16:58:17     -124.995804        0.534099
BFGS:   42 16:58:17     -125.008125        0.426464
BFGS:   43 16:58:17     -125.019058        0.205631
BFGS:   44 16:58:17     -125.026878        0.312328
BFGS:   45 16:58:17     -125.040146        0.460654
BFGS:   46 16:58:17     -125.053452        0.446146
BFGS:   47 16:58:18     -125.067268        0.534108
BFGS:   48 16:58:18     -125.078415        0.199937
BFGS:   49 16:58:18     -125.086708        0.372432
BFGS:   50 16:58:18     -125.093056        0.294506
BFGS:   51 16:58:18     -125.104927        0.347446
BFGS:   52 16:58:18     -125.116409        0.274948
BFGS:   53 16:58:18     -125.125229        0.350793
BFGS:   54 16:58:18     -125.133026        0.291204
BFGS:   55 16:58:18     -125.141167        0.151012
BFGS:   56 16:58:18     -125.148140        0.245260
BFGS:   57 16:58:18     -125.155403        0.336251
BFGS:   58 16:58:18     -125.164200        0.349595
BFGS:   59 16:58:19     -125.172791        0.388458
BFGS:   60 16:58:19     -125.178329        0.261771
BFGS:   61 16:58:19     -125.182671        0.170220
BFGS:   62 16:58:19     -125.187439        0.126402
BFGS:   63 16:58:19     -125.191528        0.141995
BFGS:   64 16:58:19     -125.196312        0.135228
BFGS:   65 16:58:19     -125.199364        0.103491
BFGS:   66 16:58:19     -125.201088        0.069682
BFGS:   67 16:58:19     -125.202034        0.050517
BFGS:   68 16:58:19     -125.202713        0.052128
BFGS:   69 16:58:19     -125.203445        0.067410
BFGS:   70 16:58:19     -125.204216        0.058546
BFGS:   71 16:58:19     -125.204803        0.053082
BFGS:   72 16:58:20     -125.205200        0.041372
      Step     Time          Energy          fmax
BFGS:    0 16:58:20     -123.067825        5.468677
BFGS:    1 16:58:20     -123.639984        1.379671
BFGS:    2 16:58:20     -123.694229        2.028874
BFGS:    3 16:58:20     -123.789703        1.658431
BFGS:    4 16:58:20     -124.001564        1.600100
BFGS:    5 16:58:20     -124.045609        1.163501
BFGS:    6 16:58:20     -124.140450        1.297226
BFGS:    7 16:58:20     -124.271042        1.806750
BFGS:    8 16:58:21     -124.316917        0.718446
BFGS:    9 16:58:21     -124.341942        0.576908
BFGS:   10 16:58:21     -124.389786        1.573151
BFGS:   11 16:58:21     -124.436859        2.062948
BFGS:   12 16:58:21     -124.537659        2.924287
BFGS:   13 16:58:21     -124.622574        2.036520
BFGS:   14 16:58:21     -124.735291        0.887029
BFGS:   15 16:58:21     -124.769119        0.660955
BFGS:   16 16:58:21     -124.864380        0.894909
BFGS:   17 16:58:21     -124.898834        2.566664
BFGS:   18 16:58:21     -125.001289        1.281063
BFGS:   19 16:58:21     -125.064354        0.761031
BFGS:   20 16:58:21     -125.123573        0.927985
BFGS:   21 16:58:22     -125.158226        0.942296
BFGS:   22 16:58:22     -125.192192        0.680476
BFGS:   23 16:58:22     -125.269096        0.828241
BFGS:   24 16:58:22     -125.295433        0.349664
BFGS:   25 16:58:22     -125.322693        0.469638
BFGS:   26 16:58:22     -125.343178        0.440983
BFGS:   27 16:58:22     -125.360168        0.354497
BFGS:   28 16:58:22     -125.386742        0.362036
BFGS:   29 16:58:22     -125.399788        0.231145
BFGS:   30 16:58:22     -125.404648        0.322425
BFGS:   31 16:58:22     -125.409706        0.194975
BFGS:   32 16:58:22     -125.419945        0.247042
BFGS:   33 16:58:23     -125.426224        0.225947
BFGS:   34 16:58:23     -125.430214        0.149953
BFGS:   35 16:58:23     -125.432022        0.108776
BFGS:   36 16:58:23     -125.434448        0.123246
BFGS:   37 16:58:23     -125.437035        0.126572
BFGS:   38 16:58:23     -125.438881        0.100663
BFGS:   39 16:58:23     -125.440102        0.098670
BFGS:   40 16:58:23     -125.441116        0.070147
BFGS:   41 16:58:23     -125.442039        0.060224
BFGS:   42 16:58:23     -125.443069        0.077551
BFGS:   43 16:58:23     -125.444092        0.079703
BFGS:   44 16:58:23     -125.444870        0.073613
BFGS:   45 16:58:23     -125.445480        0.048105
      Step     Time          Energy          fmax
BFGS:    0 16:58:24     -123.169785        5.941938
BFGS:    1 16:58:24     -123.851730        1.936281
BFGS:    2 16:58:24     -123.945786        2.055530
BFGS:    3 16:58:24     -124.203896        0.896830
BFGS:    4 16:58:24     -124.254303        1.105077
BFGS:    5 16:58:24     -124.285904        0.988776
BFGS:    6 16:58:24     -124.374825        0.828638
BFGS:    7 16:58:24     -124.386017        0.375137
BFGS:    8 16:58:24     -124.392281        0.282490
BFGS:    9 16:58:25     -124.401711        0.392001
BFGS:   10 16:58:25     -124.408020        0.458166
BFGS:   11 16:58:25     -124.417572        0.419325
BFGS:   12 16:58:25     -124.428810        0.419605
BFGS:   13 16:58:25     -124.451187        0.879052
BFGS:   14 16:58:25     -124.489304        1.353346
BFGS:   15 16:58:25     -124.547089        1.689834
BFGS:   16 16:58:25     -124.725510        1.595287
BFGS:   17 16:58:25     -124.481773        4.422134
BFGS:   18 16:58:25     -124.851501        1.024340
BFGS:   19 16:58:25     -124.889397        0.646582
BFGS:   20 16:58:25     -124.959503        0.591346
BFGS:   21 16:58:25     -125.061478        1.779971
BFGS:   22 16:58:26     -125.138687        0.616541
BFGS:   23 16:58:26     -125.162598        0.444858
BFGS:   24 16:58:26     -125.204071        0.912406
BFGS:   25 16:58:26     -125.226006        0.695656
BFGS:   26 16:58:26     -125.255402        0.460391
BFGS:   27 16:58:26     -125.266647        0.404378
BFGS:   28 16:58:26     -125.292336        0.357633
BFGS:   29 16:58:26     -125.302361        0.244394
BFGS:   30 16:58:26     -125.308342        0.402160
BFGS:   31 16:58:26     -125.313530        0.331033
BFGS:   32 16:58:26     -125.320320        0.276054
BFGS:   33 16:58:26     -125.329292        0.146281
BFGS:   34 16:58:27     -125.332382        0.180325
BFGS:   35 16:58:27     -125.337463        0.247755
BFGS:   36 16:58:27     -125.342926        0.244455
BFGS:   37 16:58:27     -125.349159        0.158063
BFGS:   38 16:58:27     -125.353630        0.130160
BFGS:   39 16:58:27     -125.356316        0.125667
BFGS:   40 16:58:27     -125.358803        0.177067
BFGS:   41 16:58:27     -125.362244        0.180288
BFGS:   42 16:58:27     -125.365288        0.143785
BFGS:   43 16:58:27     -125.367142        0.092071
BFGS:   44 16:58:27     -125.368286        0.065200
BFGS:   45 16:58:27     -125.369408        0.104769
BFGS:   46 16:58:27     -125.371071        0.163168
BFGS:   47 16:58:28     -125.373238        0.180419
BFGS:   48 16:58:28     -125.375153        0.126015
BFGS:   49 16:58:28     -125.376328        0.068180
BFGS:   50 16:58:28     -125.377174        0.083144
BFGS:   51 16:58:28     -125.378326        0.149916
BFGS:   52 16:58:28     -125.380043        0.199856
BFGS:   53 16:58:28     -125.382095        0.188996
BFGS:   54 16:58:28     -125.383858        0.107062
BFGS:   55 16:58:28     -125.384987        0.065480
BFGS:   56 16:58:28     -125.385895        0.100480
BFGS:   57 16:58:28     -125.387260        0.155256
BFGS:   58 16:58:28     -125.389473        0.180973
BFGS:   59 16:58:29     -125.392372        0.140209
BFGS:   60 16:58:29     -125.394852        0.087591
BFGS:   61 16:58:29     -125.396591        0.109739
BFGS:   62 16:58:29     -125.398933        0.143904
BFGS:   63 16:58:29     -125.402466        0.189670
BFGS:   64 16:58:29     -125.407402        0.185044
BFGS:   65 16:58:29     -125.411530        0.132846
BFGS:   66 16:58:29     -125.413635        0.074781
BFGS:   67 16:58:29     -125.415047        0.097374
BFGS:   68 16:58:29     -125.416832        0.196407
BFGS:   69 16:58:29     -125.419136        0.144090
BFGS:   70 16:58:29     -125.424072        0.112008
BFGS:   71 16:58:29     -125.425461        0.097352
BFGS:   72 16:58:30     -125.427216        0.097627
BFGS:   73 16:58:30     -125.428749        0.093308
BFGS:   74 16:58:30     -125.431915        0.097778
BFGS:   75 16:58:30     -125.434494        0.109549
BFGS:   76 16:58:30     -125.437378        0.086415
BFGS:   77 16:58:30     -125.438713        0.069774
BFGS:   78 16:58:30     -125.439568        0.062653
BFGS:   79 16:58:30     -125.440598        0.077260
BFGS:   80 16:58:30     -125.442245        0.105784
BFGS:   81 16:58:30     -125.444420        0.086131
BFGS:   82 16:58:30     -125.445068        0.054362
BFGS:   83 16:58:30     -125.445587        0.040974
      Step     Time          Energy          fmax
BFGS:    0 16:58:31     -127.258286        1.763171
BFGS:    1 16:58:31     -127.340195        1.618874
BFGS:    2 16:58:31     -127.535065        1.723138
BFGS:    3 16:58:31     -127.622765        1.384259
BFGS:    4 16:58:31     -127.768051        0.901282
BFGS:    5 16:58:31     -127.787537        0.418316
